Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-13 07:30:00,2022-10-13 07:30:10,43.08836,5.93093,4.87222,80.3,1,4.128,16.2
2022-10-13 07:40:01,2022-10-13 07:40:12,43.08274,5.96728,5.01667,106.2,1,4.131,16.5
2022-10-13 07:49:59,2022-10-13 07:50:31,43.08017,6.00168,2.51667,331.4,1,4.131,16.9
2022-10-13 08:10:01,2022-10-13 08:10:11,43.07747,5.98267,0,46.3,1,4.127,20.6
2022-10-13 08:20:00,2022-10-13 08:20:12,43.07712,5.98199,0,260.9,1,4.126,20.7
2022-10-13 08:30:00,2022-10-13 08:30:12,43.07675,5.98137,0,322.1,1,4.126,20.8
2022-10-13 08:40:00,2022-10-13 08:40:11,43.07641,5.98081,0,86.3,1,4.125,20.8
2022-10-13 08:50:00,2022-10-13 08:50:13,43.07597,5.98009,0,319.4,1,4.123,20.8
2022-10-13 09:00:00,2022-10-13 09:00:11,43.07558,5.97953,0,29.4,1,4.123,20.8
2022-10-13 09:10:00,2022-10-13 09:10:14,43.07517,5.97898,0,177.3,1,4.122,20.9
2022-10-13 09:20:00,2022-10-13 09:20:11,43.07479,5.97849,0,247.7,1,4.12,20.9
2022-10-13 09:30:01,2022-10-13 09:30:12,43.07437,5.97798,0,190.4,1,4.121,20.9
2022-10-13 09:40:01,2022-10-13 09:40:12,43.074,5.97747,0,247.3,1,4.118,20.9
2022-10-13 09:50:00,2022-10-13 09:50:18,43.07364,5.97694,0,256,1,4.119,20.9
2022-10-13 10:00:01,2022-10-13 10:00:12,43.07336,5.97645,0,286.3,1,4.12,20.9
2022-10-13 10:10:00,2022-10-13 10:10:11,43.0731,5.97604,0,67.1,1,4.119,20.9
2022-10-13 10:20:01,2022-10-13 10:20:12,43.07293,5.97573,0,247.8,1,4.119,21
2022-10-13 10:30:01,2022-10-13 10:30:14,43.07275,5.97559,0,221.5,1,4.116,21
2022-10-13 10:40:01,2022-10-13 10:40:11,43.07263,5.97552,0,354.2,1,4.116,21
2022-10-13 10:50:01,2022-10-13 10:50:21,43.07253,5.9755,0,15.5,1,4.116,21
2022-10-13 11:00:01,2022-10-13 11:00:11,43.07245,5.97547,0,343.6,1,4.116,21
2022-10-13 11:10:01,2022-10-13 11:10:12,43.07233,5.97537,0,84.7,1,4.114,21
2022-10-13 11:20:01,2022-10-13 11:20:28,43.07229,5.97522,0,24.8,1,4.115,21
2022-10-13 11:30:01,2022-10-13 11:30:12,43.07222,5.97509,0,92.3,1,4.112,21
2022-10-13 11:40:01,2022-10-13 11:40:16,43.07216,5.97502,0,237.7,1,4.113,21
2022-10-13 11:50:01,2022-10-13 11:50:11,43.07213,5.97498,0,283.2,1,4.112,21
