Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-12 07:20:00,2022-10-12 07:20:11,43.10376,5.9118,4.17778,98.4,1,4.062,16
2022-10-12 07:30:00,2022-10-12 07:30:09,43.08785,5.92787,3.95556,84.8,1,4.06,17
2022-10-12 07:40:00,2022-10-12 07:40:11,43.08125,5.95914,4.71111,123.6,1,4.062,17.3
2022-10-12 07:50:00,2022-10-12 07:50:13,43.07756,5.97256,0,198.1,1,4.058,17.9
2022-10-12 08:00:00,2022-10-12 08:00:13,43.07716,5.97206,0,248.7,1,4.06,20.6
2022-10-12 08:10:00,2022-10-12 08:10:20,43.07711,5.9713,0.86944,250.2,1,4.058,20.6
2022-10-12 08:20:00,2022-10-12 08:20:11,43.07718,5.97055,0.82778,288.3,1,4.058,20.7
2022-10-12 08:30:00,2022-10-12 08:30:11,43.07725,5.96965,0,299.7,1,4.057,20.7
2022-10-12 08:40:00,2022-10-12 08:40:10,43.07736,5.96874,0,207.7,1,4.056,20.7
2022-10-12 08:50:00,2022-10-12 08:50:11,43.07742,5.96792,0,301.3,1,4.056,20.7
2022-10-12 09:00:00,2022-10-12 09:00:11,43.07749,5.96709,0,242.8,1,4.056,20.8
2022-10-12 09:10:00,2022-10-12 09:10:12,43.0775,5.96637,0,26.6,1,4.055,20.8
2022-10-12 09:20:00,2022-10-12 09:20:22,43.07748,5.96574,0,297.4,1,4.055,20.8
2022-10-12 09:30:00,2022-10-12 09:30:11,43.07748,5.96506,0,238.9,1,4.054,20.8
2022-10-12 09:40:00,2022-10-12 09:40:11,43.07763,5.96434,0,272.6,1,4.053,20.8
2022-10-12 09:50:00,2022-10-12 09:50:12,43.07777,5.96355,0,289.9,1,4.052,20.8
2022-10-12 10:00:00,2022-10-12 10:00:11,43.07799,5.9627,0,107.7,1,4.052,20.8
2022-10-12 10:10:00,2022-10-12 10:10:12,43.07824,5.96196,0,292.2,1,4.051,20.8
2022-10-12 10:20:00,2022-10-12 10:20:12,43.07864,5.9611,0,300.8,1,4.052,20.8
2022-10-12 10:30:00,2022-10-12 10:30:11,43.079,5.96032,0,320.8,1,4.051,20.8
