Station,Name,DrogDepth,DepDate,DepTime,DepLong,DepLat,RecovDate,RecovTime,RecovLong,RecovLat
1,274,1,10/12/2022,09:47:00,5°58.363,43°4.655,10/12/2022,12:40:00,5.0°57.564,43.0°4.783
1,8436,0,10/12/2022,09:47:00,5°58.363,43°4.655,10/12/2022,12:32:00,5.0°57.185,43.0°4.708
1,6439,0.6,10/12/2022,09:47:00,5°58.363,43°4.655,10/12/2022,12:42:00,5.0°57.571,43.0°4.803
2,273,1,10/12/2022,09:59:00,5°59.055,43°4.723,10/12/2022,14:03:00,5.0°57.743,43.0°5.145
2,7230,0.6,10/12/2022,09:59:00,5°59.055,43°4.723,10/12/2022,13:59:00,5.0°57.955,43.0°5.144
2,119,0,10/12/2022,09:59:00,5°59.055,43°4.723,10/12/2022,14:12:00,5.0°56.777,43.0°5.185
3,277,1,10/12/2022,10:16:00,5°59.956,43°4.809,10/12/2022,13:45:00,5.0°58.864,43.0°5.309
3,2052,0,10/12/2022,10:16:00,5°59.956,43°4.809,10/12/2022,13:52:00,5.0°58.161,43.0°5.361
3,3368,0.6,10/12/2022,10:16:00,5°59.956,43°4.809,10/12/2022,13:43:00,5.0°59.034,43.0°5.274
,,,,,,,,,,
