Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-11 07:20:00,2022-10-11 07:20:11,43.10573,5.88547,0,133.6,1,4.125,16.9
2022-10-11 07:30:00,2022-10-11 07:30:12,43.10489,5.89227,2.65,71.7,1,4.124,17.4
2022-10-11 07:40:00,2022-10-11 07:40:27,43.10166,5.91374,3.23611,113.5,1,4.124,17.6
2022-10-11 07:50:00,2022-10-11 07:50:11,43.08723,5.92638,3.46667,99.9,1,4.125,17.6
2022-10-11 08:00:00,2022-10-11 08:00:11,43.08671,5.95253,3.51944,91.8,1,4.121,17.6
2022-10-11 08:10:00,2022-10-11 08:10:10,43.08558,5.97823,3.28333,93.5,1,4.121,17.8
2022-10-11 08:20:00,2022-10-11 08:20:16,43.08466,6.00312,3.58611,93.3,1,4.122,18.1
2022-10-11 08:30:00,2022-10-11 08:30:11,43.08015,5.99877,0,250.3,1,4.122,20.5
2022-10-11 08:40:00,2022-10-11 08:40:11,43.08021,5.99929,0,66.6,1,4.121,20.8
2022-10-11 08:50:00,2022-10-11 08:50:11,43.08032,5.99992,0,187.1,1,4.12,20.8
2022-10-11 09:00:00,2022-10-11 09:00:19,43.08042,6.00061,0,46.9,1,4.119,20.9
2022-10-11 09:10:00,2022-10-11 09:10:11,43.08052,6.00111,0,8.1,1,4.119,20.9
2022-10-11 09:20:00,2022-10-11 09:20:10,43.08063,6.00156,0,235.4,1,4.118,21
2022-10-11 09:30:00,2022-10-11 09:30:11,43.08078,6.00194,0,0,1,4.118,20.9
2022-10-11 09:40:00,2022-10-11 09:40:10,43.08087,6.00186,0,178.9,1,4.118,21
2022-10-11 09:50:00,2022-10-11 09:50:12,43.08096,6.00192,0,95.3,1,4.116,21
2022-10-11 10:00:00,2022-10-11 10:00:10,43.08112,6.00223,0,163.7,1,4.116,21
2022-10-11 10:10:00,2022-10-11 10:10:11,43.08129,6.0026,0,147.9,1,4.115,21
2022-10-11 10:20:00,2022-10-11 10:20:10,43.08156,6.00295,0,7.9,1,4.115,21
2022-10-11 10:30:00,2022-10-11 10:30:27,43.08197,6.00325,0,39.4,1,4.113,21
2022-10-11 10:40:00,2022-10-11 10:40:11,43.08243,6.00344,0,83.5,1,4.113,21
2022-10-11 10:50:00,2022-10-11 10:50:10,43.08295,6.00355,0,4.7,1,4.112,21
2022-10-11 11:00:00,2022-10-11 11:00:20,43.08357,6.00346,0,329.9,1,4.112,21
2022-10-11 11:10:00,2022-10-11 11:10:15,43.08424,6.00317,0,0,1,4.109,21
2022-10-11 11:20:00,2022-10-11 11:20:18,43.08493,6.00283,0,334.1,1,4.108,21
2022-10-11 11:30:00,2022-10-11 11:30:11,43.08566,6.00226,0,207.6,1,4.11,21.1
2022-10-11 11:40:00,2022-10-11 11:40:40,43.08645,6.0016,0,309.3,1,4.11,21.1
2022-10-11 11:50:00,2022-10-11 11:50:12,43.08731,6.00087,0,159,1,4.11,21.1
2022-10-11 12:00:00,2022-10-11 12:00:49,43.08819,6.00016,0,0,1,4.109,21.1
2022-10-11 12:10:00,2022-10-11 12:10:19,43.08902,5.9995,0,279.6,1,4.109,21
