DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4408436,2022-10-11 11:40:44,LOW,0-4408436,43.08193,5.9904
,,,,,
0-4408436,2022-10-11 11:35:42,LOW,0-4408436,43.08295,5.98706
,,,,,
0-4408436,2022-10-11 11:30:44,LOW,0-4408436,43.08276,5.98706
,,,,,
0-4408436,2022-10-11 11:25:42,LOW,0-4408436,43.08258,5.98699
,,,,,
0-4408436,2022-10-11 11:20:43,LOW,0-4408436,43.08245,5.98693
,,,,,
0-4408436,2022-10-11 11:15:41,LOW,0-4408436,43.08228,5.98678
,,,,,
0-4408436,2022-10-11 11:10:42,LOW,0-4408436,43.08212,5.98658
,,,,,
0-4408436,2022-10-11 11:05:40,LOW,0-4408436,43.08193,5.98639
,,,,,
0-4408436,2022-10-11 11:00:38,LOW,0-4408436,43.08175,5.98622
,,,,,
0-4408436,2022-10-11 10:55:41,LOW,0-4408436,43.08151,5.986
,,,,,
0-4408436,2022-10-11 10:51:06,LOW,0-4408436,43.08128,5.98581
,,,,,
0-4408436,2022-10-11 10:45:42,LOW,0-4408436,43.08102,5.9856
,,,,,
0-4408436,2022-10-11 10:40:40,LOW,0-4408436,43.08076,5.98536
,,,,,
0-4408436,2022-10-11 10:35:43,LOW,0-4408436,43.08052,5.98517
,,,,,
0-4408436,2022-10-11 10:30:45,LOW,0-4408436,43.08034,5.985
,,,,,
0-4408436,2022-10-11 10:25:43,LOW,0-4408436,43.08026,5.98478
,,,,,
0-4408436,2022-10-11 10:20:41,LOW,0-4408436,43.08009,5.98467
,,,,,
0-4408436,2022-10-11 10:15:42,LOW,0-4408436,43.07994,5.98459
,,,,,
0-4408436,2022-10-11 10:10:40,LOW,0-4408436,43.07977,5.98452
,,,,,
0-4408436,2022-10-11 10:05:41,LOW,0-4408436,43.07968,5.98452
,,,,,
0-4408436,2022-10-11 10:00:39,LOW,0-4408436,43.07958,5.98452
,,,,,
0-4408436,2022-10-11 09:55:40,LOW,0-4408436,43.07948,5.98448
,,,,,
0-4408436,2022-10-11 09:50:56,LOW,0-4408436,43.07937,5.98444
,,,,,
0-4408436,2022-10-11 09:45:39,LOW,0-4408436,43.07926,5.98439
,,,,,
0-4408436,2022-10-11 09:40:40,LOW,0-4408436,43.07919,5.98433
,,,,,
0-4408436,2022-10-11 09:35:41,LOW,0-4408436,43.07915,5.98433
,,,,,
0-4408436,2022-10-11 09:30:41,LOW,0-4408436,43.07913,5.98437
,,,,,
0-4408436,2022-10-11 09:25:43,LOW,0-4408436,43.07913,5.98437
,,,,,
0-4408436,2022-10-11 09:20:44,LOW,0-4408436,43.07908,5.98446
,,,,,
0-4408436,2022-10-11 09:15:43,LOW,0-4408436,43.07908,5.98452
,,,,,
0-4408436,2022-10-11 09:10:44,LOW,0-4408436,43.07903,5.98459
,,,,,
0-4408436,2022-10-11 09:05:45,LOW,0-4408436,43.07897,5.98463
,,,,,
0-4408436,2022-10-11 09:00:46,LOW,0-4408436,43.0789,5.98463
,,,,,
0-4408436,2022-10-11 08:55:48,LOW,0-4408436,43.0788,5.98459
,,,,,
0-4408436,2022-10-11 08:51:25,LOW,0-4408436,43.07869,5.98457
,,,,,
0-4408436,2022-10-11 08:45:50,LOW,0-4408436,43.07853,5.98457
,,,,,
0-4408436,2022-10-11 08:40:50,LOW,0-4408436,43.07853,5.98431
,,,,,
0-4408436,2022-10-11 08:36:02,LOW,0-4408436,43.07939,5.99401
,,,,,
0-4408436,2022-10-11 08:30:51,LOW,0-4408436,43.07978,5.99877
,,,,,
0-4408436,2022-10-11 08:25:52,LOW,0-4408436,43.0808,6.00021
,,,,,
0-4408436,2022-10-11 08:20:51,LOW,0-4408436,43.08455,6.00417
,,,,,
0-4408436,2022-10-11 08:10:49,LOW,0-4408436,43.08555,5.97922
,,,,,
0-4408436,2022-10-11 08:06:23,LOW,0-4408436,43.086,5.96811
,,,,,
0-4408436,2022-10-11 08:04:31,LOW,0-4408436,43.08622,5.96328
,,,,,
0-4408436,2022-10-11 07:59:29,LOW,0-4408436,43.08683,5.95
,,,,,
0-4408436,2022-10-11 07:54:25,LOW,0-4408436,43.08734,5.93678
,,,,,
0-4408436,2022-10-11 07:49:24,LOW,0-4408436,43.08789,5.92382
