Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-11 07:20:00,2022-10-11 07:20:11,43.1056,5.88549,0,57.3,1,4.077,16.5
2022-10-11 07:30:00,2022-10-11 07:30:19,43.10489,5.89223,2.80833,71.1,1,4.075,17
2022-10-11 07:40:00,2022-10-11 07:40:10,43.10165,5.91376,3.15833,112.6,1,4.076,17.2
2022-10-11 07:50:00,2022-10-11 07:50:10,43.08729,5.92635,3.45833,98.5,1,4.075,17.2
2022-10-11 08:00:00,2022-10-11 08:00:11,43.0868,5.95257,3.65833,92.7,1,4.074,17.4
2022-10-11 08:10:00,2022-10-11 08:10:20,43.08558,5.97825,3.09722,93.4,1,4.074,17.8
2022-10-11 08:20:00,2022-10-11 08:20:11,43.08467,6.0032,3.43611,92.4,1,4.073,18
2022-10-11 08:30:00,2022-10-11 08:30:10,43.07999,5.99885,0,63.6,1,4.072,18.4
2022-10-11 08:40:00,2022-10-11 08:40:10,43.07866,5.98417,1.14722,175.3,1,4.073,18.6
2022-10-11 08:50:00,2022-10-11 08:50:21,43.0787,5.98461,0,232.9,1,4.073,20.7
2022-10-11 09:00:00,2022-10-11 09:00:20,43.07902,5.98482,0,49,1,4.071,20.8
2022-10-11 09:10:00,2022-10-11 09:10:45,43.0792,5.98513,0,1.6,1,4.069,20.8
2022-10-11 09:20:00,2022-10-11 09:20:38,43.07929,5.98532,0,69.2,1,4.069,20.8
2022-10-11 09:30:00,2022-10-11 09:30:11,43.07936,5.98558,0,6.5,1,4.069,20.8
2022-10-11 09:40:00,2022-10-11 09:40:11,43.07946,5.98576,0,0,1,4.069,20.8
2022-10-11 09:50:00,2022-10-11 09:50:10,43.07961,5.986,0,86.6,1,4.067,20.8
2022-10-11 10:00:00,2022-10-11 10:00:20,43.07979,5.98627,0,89.2,1,4.066,20.8
2022-10-11 10:10:00,2022-10-11 10:10:11,43.08001,5.98659,0,55.8,1,4.067,20.9
2022-10-11 10:20:00,2022-10-11 10:20:13,43.08023,5.98694,0,128.7,1,4.065,20.9
2022-10-11 10:30:00,2022-10-11 10:30:46,43.08041,5.9873,0,119.8,1,4.065,20.9
2022-10-11 10:40:00,2022-10-11 10:40:11,43.08057,5.98764,0,0,1,4.064,20.9
2022-10-11 10:50:00,2022-10-11 10:50:13,43.08076,5.98799,0,0,1,4.064,20.9
2022-10-11 11:00:00,2022-10-11 11:00:17,43.08097,5.98832,0,183.9,1,4.064,20.9
2022-10-11 11:10:00,2022-10-11 11:10:37,43.0812,5.9887,0,0,1,4.063,21.1
2022-10-11 11:20:00,2022-10-11 11:20:11,43.08151,5.98915,0,188.9,1,4.063,21.1
2022-10-11 11:30:00,2022-10-11 11:30:12,43.08185,5.98957,0,331.2,1,4.062,21.1
