DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4407230,2022-10-11 12:09:00,LOW,0-4407230,43.08978,5.99607
,,,,,
0-4407230,2022-10-11 12:03:14,LOW,0-4407230,43.08414,5.9907
,,,,,
0-4407230,2022-10-11 11:58:15,LOW,0-4407230,43.0755,5.98637
,,,,,
0-4407230,2022-10-11 11:53:14,LOW,0-4407230,43.0735,5.98504
,,,,,
0-4407230,2022-10-11 11:48:15,LOW,0-4407230,43.0733,5.98476
,,,,,
0-4407230,2022-10-11 11:43:18,LOW,0-4407230,43.0731,5.98444
,,,,,
0-4407230,2022-10-11 11:38:16,LOW,0-4407230,43.07292,5.98409
,,,,,
0-4407230,2022-10-11 11:33:16,LOW,0-4407230,43.07275,5.98375
,,,,,
0-4407230,2022-10-11 11:28:12,LOW,0-4407230,43.07265,5.98339
,,,,,
0-4407230,2022-10-11 11:23:17,LOW,0-4407230,43.07265,5.98296
,,,,,
0-4407230,2022-10-11 11:18:16,LOW,0-4407230,43.07266,5.98253
,,,,,
0-4407230,2022-10-11 11:13:18,LOW,0-4407230,43.07269,5.9821
,,,,,
0-4407230,2022-10-11 11:08:56,LOW,0-4407230,43.07273,5.98169
,,,,,
0-4407230,2022-10-11 11:03:19,LOW,0-4407230,43.07285,5.98115
,,,,,
0-4407230,2022-10-11 10:58:21,LOW,0-4407230,43.07293,5.9807
,,,,,
0-4407230,2022-10-11 10:53:20,LOW,0-4407230,43.07302,5.98027
,,,,,
0-4407230,2022-10-11 10:48:19,LOW,0-4407230,43.07311,5.97989
,,,,,
0-4407230,2022-10-11 10:43:27,LOW,0-4407230,43.07321,5.97952
,,,,,
0-4407230,2022-10-11 10:38:19,LOW,0-4407230,43.07333,5.97916
,,,,,
0-4407230,2022-10-11 10:33:21,LOW,0-4407230,43.07349,5.97882
,,,,,
0-4407230,2022-10-11 10:28:23,LOW,0-4407230,43.07366,5.97847
,,,,,
0-4407230,2022-10-11 10:23:21,LOW,0-4407230,43.07383,5.97813
,,,,,
0-4407230,2022-10-11 10:18:23,LOW,0-4407230,43.07404,5.97781
,,,,,
0-4407230,2022-10-11 10:13:21,LOW,0-4407230,43.07424,5.97749
,,,,,
0-4407230,2022-10-11 10:08:57,LOW,0-4407230,43.07442,5.97718
,,,,,
0-4407230,2022-10-11 10:03:24,LOW,0-4407230,43.07465,5.97684
,,,,,
0-4407230,2022-10-11 09:58:24,LOW,0-4407230,43.07483,5.97654
,,,,,
0-4407230,2022-10-11 09:53:27,LOW,0-4407230,43.07502,5.97626
,,,,,
0-4407230,2022-10-11 09:48:27,LOW,0-4407230,43.07521,5.97596
,,,,,
0-4407230,2022-10-11 09:43:30,LOW,0-4407230,43.07542,5.9757
,,,,,
0-4407230,2022-10-11 09:38:28,LOW,0-4407230,43.07565,5.97543
,,,,,
0-4407230,2022-10-11 09:33:27,LOW,0-4407230,43.07587,5.97517
,,,,,
0-4407230,2022-10-11 09:28:28,LOW,0-4407230,43.07613,5.97487
,,,,,
0-4407230,2022-10-11 09:23:29,LOW,0-4407230,43.07636,5.97461
,,,,,
0-4407230,2022-10-11 09:18:24,LOW,0-4407230,43.07661,5.97425
,,,,,
0-4407230,2022-10-11 09:13:28,LOW,0-4407230,43.07693,5.97392
,,,,,
0-4407230,2022-10-11 09:08:59,LOW,0-4407230,43.07726,5.9736
,,,,,
0-4407230,2022-10-11 09:03:30,LOW,0-4407230,43.07617,5.97319
,,,,,
0-4407230,2022-10-11 08:58:30,LOW,0-4407230,43.07673,5.97285
,,,,,
0-4407230,2022-10-11 08:53:25,LOW,0-4407230,43.07714,5.97311
,,,,,
0-4407230,2022-10-11 08:48:24,LOW,0-4407230,43.07714,5.97626
,,,,,
0-4407230,2022-10-11 08:43:22,LOW,0-4407230,43.07827,5.98446
,,,,,
0-4407230,2022-10-11 08:38:22,LOW,0-4407230,43.07908,5.98753
,,,,,
0-4407230,2022-10-11 08:33:21,LOW,0-4407230,43.07978,5.99881
,,,,,
0-4407230,2022-10-11 08:28:21,LOW,0-4407230,43.08008,5.99872
,,,,,
0-4407230,2022-10-11 08:23:22,GOOD,0-4407230,43.08332,6.00471
,,,,,
0-4407230,2022-10-11 08:13:23,GOOD,0-4407230,43.08524,5.98542
,,,,,
0-4407230,2022-10-11 08:08:19,GOOD,0-4407230,43.08574,5.97289
