DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4410119,2022-10-11 12:30:10,GOOD,0-4410119,43.08936,5.9524
,,,,,
0-4410119,2022-10-11 12:25:26,GOOD,0-4410119,43.09122,5.9698
,,,,,
0-4410119,2022-10-11 12:20:17,GOOD,0-4410119,43.0918,5.98884
,,,,,
0-4410119,2022-10-11 12:07:39,GOOD,0-4410119,43.09019,5.99197
,,,,,
0-4410119,2022-10-11 12:02:44,GOOD,0-4410119,43.0828,5.99045
,,,,,
0-4410119,2022-10-11 11:57:44,GOOD,0-4410119,43.07533,5.98642
,,,,,
0-4410119,2022-10-11 11:52:43,GOOD,0-4410119,43.07505,5.98585
,,,,,
0-4410119,2022-10-11 11:47:46,GOOD,0-4410119,43.07482,5.98532
,,,,,
0-4410119,2022-10-11 11:42:48,GOOD,0-4410119,43.07459,5.98482
,,,,,
0-4410119,2022-10-11 11:37:47,GOOD,0-4410119,43.07439,5.98431
,,,,,
0-4410119,2022-10-11 11:32:47,GOOD,0-4410119,43.0742,5.98379
,,,,,
0-4410119,2022-10-11 11:27:49,GOOD,0-4410119,43.07404,5.98326
,,,,,
0-4410119,2022-10-11 11:23:25,GOOD,0-4410119,43.07393,5.98276
,,,,,
0-4410119,2022-10-11 11:17:52,GOOD,0-4410119,43.07382,5.98212
,,,,,
0-4410119,2022-10-11 11:12:51,GOOD,0-4410119,43.07373,5.9815
,,,,,
0-4410119,2022-10-11 11:07:51,GOOD,0-4410119,43.07364,5.98099
,,,,,
0-4410119,2022-10-11 11:02:52,GOOD,0-4410119,43.07356,5.98032
,,,,,
0-4410119,2022-10-11 10:57:54,GOOD,0-4410119,43.07347,5.9797
,,,,,
0-4410119,2022-10-11 10:52:53,GOOD,0-4410119,43.07339,5.97914
,,,,,
0-4410119,2022-10-11 10:47:52,GOOD,0-4410119,43.07333,5.97862
,,,,,
0-4410119,2022-10-11 10:42:53,GOOD,0-4410119,43.0733,5.97811
,,,,,
0-4410119,2022-10-11 10:37:55,GOOD,0-4410119,43.07333,5.97764
,,,,,
0-4410119,2022-10-11 10:32:54,GOOD,0-4410119,43.07338,5.97721
,,,,,
0-4410119,2022-10-11 10:27:55,GOOD,0-4410119,43.07344,5.97682
,,,,,
0-4410119,2022-10-11 10:23:30,GOOD,0-4410119,43.07353,5.9765
,,,,,
0-4410119,2022-10-11 10:17:52,GOOD,0-4410119,43.07365,5.97609
,,,,,
0-4410119,2022-10-11 10:12:53,GOOD,0-4410119,43.0738,5.97577
,,,,,
0-4410119,2022-10-11 10:07:55,GOOD,0-4410119,43.07401,5.97549
,,,,,
0-4410119,2022-10-11 10:02:53,GOOD,0-4410119,43.07425,5.97521
,,,,,
0-4410119,2022-10-11 09:57:55,GOOD,0-4410119,43.07449,5.97493
,,,,,
0-4410119,2022-10-11 09:52:55,GOOD,0-4410119,43.07472,5.9747
,,,,,
0-4410119,2022-10-11 09:47:57,GOOD,0-4410119,43.07498,5.9745
,,,,,
0-4410119,2022-10-11 09:42:57,GOOD,0-4410119,43.07524,5.97431
,,,,,
0-4410119,2022-10-11 09:37:56,GOOD,0-4410119,43.0755,5.97416
,,,,,
0-4410119,2022-10-11 09:32:59,GOOD,0-4410119,43.07578,5.97403
,,,,,
0-4410119,2022-10-11 09:28:01,GOOD,0-4410119,43.07608,5.9739
,,,,,
0-4410119,2022-10-11 09:23:30,GOOD,0-4410119,43.07636,5.97384
,,,,,
0-4410119,2022-10-11 09:18:30,GOOD,0-4410119,43.07666,5.97375
,,,,,
0-4410119,2022-10-11 09:13:00,GOOD,0-4410119,43.07701,5.97364
,,,,,
0-4410119,2022-10-11 09:08:02,GOOD,0-4410119,43.07737,5.97347
,,,,,
0-4410119,2022-10-11 09:03:02,GOOD,0-4410119,43.07625,5.97278
,,,,,
0-4410119,2022-10-11 08:58:06,GOOD,0-4410119,43.07682,5.97291
,,,,,
0-4410119,2022-10-11 08:53:02,GOOD,0-4410119,43.07721,5.97315
,,,,,
0-4410119,2022-10-11 08:48:03,GOOD,0-4410119,43.07711,5.97764
,,,,,
0-4410119,2022-10-11 08:43:02,GOOD,0-4410119,43.07828,5.9845
,,,,,
0-4410119,2022-10-11 08:38:04,GOOD,0-4410119,43.079,5.98832
,,,,,
0-4410119,2022-10-11 08:33:02,GOOD,0-4410119,43.07973,5.99877
,,,,,
0-4410119,2022-10-11 08:28:04,GOOD,0-4410119,43.08017,5.99881
,,,,,
0-4410119,2022-10-11 08:23:04,GOOD,0-4410119,43.08206,6.0037
,,,,,
0-4410119,2022-10-11 08:18:04,GOOD,0-4410119,43.08481,5.99718
,,,,,
0-4410119,2022-10-11 08:13:15,GOOD,0-4410119,43.08528,5.9851
,,,,,
0-4410119,2022-10-11 08:08:11,GOOD,0-4410119,43.0858,5.97264
,,,,,
0-4410119,2022-10-11 08:03:08,GOOD,0-4410119,43.08645,5.95955
,,,,,
0-4410119,2022-10-11 07:58:11,GOOD,0-4410119,43.08694,5.94671
,,,,,
0-4410119,2022-10-11 07:53:16,GOOD,0-4410119,43.08736,5.93378
,,,,,
0-4410119,2022-10-11 07:48:13,GOOD,0-4410119,43.08981,5.92249
,,,,,
0-4410119,2022-10-11 07:43:13,GOOD,0-4410119,43.09843,5.91865
,,,,,
0-4410119,2022-10-11 07:38:13,GOOD,0-4410119,43.10369,5.9094
,,,,,
0-4410119,2022-10-11 07:33:16,GOOD,0-4410119,43.10596,5.89805
