Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-12 07:20:00,2022-10-12 07:20:19,43.1038,5.91181,3.96111,101.4,1,4.108,15.8
2022-10-12 07:30:00,2022-10-12 07:30:12,43.08799,5.92791,3.63611,86.5,1,4.107,16.8
2022-10-12 07:40:00,2022-10-12 07:40:22,43.08133,5.95918,4.63611,119.5,1,4.105,16.9
2022-10-12 07:50:00,2022-10-12 07:50:11,43.07751,5.97264,0,272.2,1,4.104,17.2
2022-10-12 08:00:00,2022-10-12 08:00:20,43.07879,5.98421,0,75.2,1,4.102,17.7
2022-10-12 08:10:00,2022-10-12 08:10:12,43.08057,5.9991,0,284.7,1,4.102,18.3
2022-10-12 08:20:00,2022-10-12 08:20:12,43.08001,5.99907,0,279.5,1,4.101,20.4
2022-10-12 08:30:00,2022-10-12 08:30:11,43.07988,5.99818,0,20.9,1,4.098,20.7
2022-10-12 08:40:00,2022-10-12 08:40:12,43.07974,5.9975,0,256.1,1,4.098,20.7
2022-10-12 08:50:00,2022-10-12 08:50:11,43.07973,5.99668,0,260.3,1,4.097,20.8
2022-10-12 09:00:00,2022-10-12 09:00:11,43.07993,5.99578,0,220.6,1,4.096,20.8
2022-10-12 09:10:00,2022-10-12 09:10:11,43.08014,5.99489,0,261.9,1,4.097,20.8
2022-10-12 09:20:00,2022-10-12 09:20:20,43.08039,5.994,0,332.8,1,4.094,20.9
2022-10-12 09:30:00,2022-10-12 09:30:11,43.08072,5.99307,0,22.5,1,4.094,20.9
2022-10-12 09:40:00,2022-10-12 09:40:12,43.08119,5.99201,0,294.6,1,4.092,20.9
2022-10-12 09:50:00,2022-10-12 09:50:11,43.08171,5.99098,0,279.3,1,4.091,20.9
2022-10-12 10:00:00,2022-10-12 10:00:12,43.08229,5.98994,0,322.9,1,4.09,20.9
2022-10-12 10:10:00,2022-10-12 10:10:12,43.0828,5.98906,0,337.6,1,4.089,20.9
2022-10-12 10:20:00,2022-10-12 10:20:12,43.08334,5.98822,0,348,1,4.088,20.9
2022-10-12 10:30:00,2022-10-12 10:30:12,43.08395,5.98746,0,295.6,1,4.088,20.9
2022-10-12 10:40:00,2022-10-12 10:40:28,43.08449,5.9867,0,305.9,1,4.086,20.9
2022-10-12 10:50:00,2022-10-12 10:50:11,43.08509,5.98581,0,293.2,1,4.086,20.9
2022-10-12 11:00:00,2022-10-12 11:00:12,43.0857,5.98497,0,322.8,1,4.084,20.9
2022-10-12 11:10:00,2022-10-12 11:10:11,43.08633,5.9841,0,218.6,1,4.084,20.9
2022-10-12 11:20:00,2022-10-12 11:20:12,43.08694,5.98326,0,266.4,1,4.083,20.9
2022-10-12 11:30:00,2022-10-12 11:30:12,43.08754,5.98249,0,351.1,1,4.082,20.9
2022-10-12 11:40:00,2022-10-12 11:40:12,43.08814,5.98168,0,330.2,1,4.081,20.9
