Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-13 07:10:00,2022-10-13 07:10:43,43.10469,5.88795,2.23889,90.1,1,4.086,15.2
2022-10-13 07:20:00,2022-10-13 07:20:28,43.10425,5.91188,4.17222,126.9,1,4.086,15.5
2022-10-13 07:30:00,2022-10-13 07:30:31,43.08842,5.93102,4.8,80.4,1,4.086,15.8
2022-10-13 07:40:00,2022-10-13 07:40:12,43.0828,5.96728,5.09167,105.4,1,4.085,16.1
2022-10-13 07:50:00,2022-10-13 07:50:11,43.0801,6.00169,1.99722,343.3,1,4.086,16.4
2022-10-13 08:00:00,2022-10-13 08:00:12,43.07831,5.98353,0,271.2,1,4.083,17.4
2022-10-13 08:10:00,2022-10-13 08:10:11,43.07716,5.97251,0,226.3,1,4.083,18.1
2022-10-13 08:20:00,2022-10-13 08:20:11,43.07763,5.97369,0.725,16.2,0,4.085,18.6
2022-10-13 08:30:00,2022-10-13 08:30:12,43.07751,5.97331,0,86.6,1,4.083,20.7
2022-10-13 08:40:00,2022-10-13 08:40:11,43.07717,5.97275,0,88.5,1,4.08,20.8
2022-10-13 08:49:59,2022-10-13 08:50:12,43.07683,5.97215,0,204.5,1,4.08,20.8
2022-10-13 09:00:00,2022-10-13 09:00:11,43.0765,5.97161,0,141.4,1,4.08,20.9
2022-10-13 09:09:59,2022-10-13 09:10:27,43.07614,5.97109,0,355.1,1,4.08,20.9
2022-10-13 09:19:59,2022-10-13 09:20:26,43.0758,5.9705,0,267.6,1,4.079,21
2022-10-13 09:30:00,2022-10-13 09:30:11,43.07547,5.96989,0,124.3,1,4.075,21
2022-10-13 09:40:00,2022-10-13 09:40:11,43.07519,5.96933,0,356.5,1,4.078,21
2022-10-13 09:49:59,2022-10-13 09:50:09,43.07498,5.96867,0,86,1,4.076,20.9
2022-10-13 10:09:59,2022-10-13 10:10:19,43.07507,5.96728,0,213.2,1,4.077,21
2022-10-13 10:19:58,2022-10-13 10:20:11,43.07536,5.96667,0,0.2,1,4.076,21
2022-10-13 10:29:58,2022-10-13 10:30:11,43.0758,5.96613,0,324.8,1,4.073,21
2022-10-13 10:39:59,2022-10-13 10:40:11,43.07626,5.96581,0,153.2,1,4.075,20.9
2022-10-13 10:49:59,2022-10-13 10:50:10,43.07683,5.96562,0,286.4,1,4.075,21
2022-10-13 11:00:00,2022-10-13 11:00:11,43.07746,5.96553,0.88611,344.8,1,4.074,21.1
2022-10-13 11:10:00,2022-10-13 11:10:18,43.07833,5.96554,0,42.6,1,4.073,21
2022-10-13 11:19:59,2022-10-13 11:20:10,43.07916,5.96575,0,28.8,1,4.074,21
2022-10-13 11:29:59,2022-10-13 11:30:10,43.07993,5.96631,0,336.9,1,4.071,21
2022-10-13 11:39:59,2022-10-13 11:40:10,43.08058,5.96705,0,46,1,4.072,21
2022-10-13 11:50:00,2022-10-13 11:50:11,43.08114,5.96788,0,38.1,1,4.071,21
2022-10-13 11:59:59,2022-10-13 12:00:17,43.08157,5.96878,0,79.7,1,4.071,21
2022-10-13 12:10:00,2022-10-13 12:10:10,43.08201,5.96985,0,331,1,4.069,21
2022-10-13 12:20:00,2022-10-13 12:20:26,43.08233,5.97072,0,73.1,1,4.071,21
