Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-13 07:10:00,2022-10-13 07:10:12,43.10471,5.88793,2.34722,90.8,1,4.05,15.2
2022-10-13 07:20:00,2022-10-13 07:20:11,43.10431,5.91185,4.50556,132,1,4.049,15.4
2022-10-13 07:30:00,2022-10-13 07:30:15,43.0884,5.93095,5.08333,81.5,1,4.05,15.7
2022-10-13 07:40:00,2022-10-13 07:40:33,43.0829,5.96705,5.62222,103.6,1,4.049,15.9
2022-10-13 07:50:00,2022-10-13 07:50:11,43.08306,5.96673,0,0,0,4.049,16.3
2022-10-13 08:00:00,2022-10-13 08:00:21,43.08005,5.99927,0.82778,84.2,1,4.047,20.6
2022-10-13 08:10:00,2022-10-13 08:10:11,43.08,5.99864,0,230.6,1,4.047,20.7
2022-10-13 08:20:00,2022-10-13 08:20:11,43.07993,5.99807,0,355.5,1,4.045,20.8
2022-10-13 08:30:00,2022-10-13 08:30:31,43.07978,5.99733,0,305.8,1,4.045,20.8
2022-10-13 08:40:00,2022-10-13 08:40:36,43.07963,5.99649,0,233.9,1,4.044,20.8
2022-10-13 08:50:00,2022-10-13 08:51:35,43.07933,5.99576,0,0.7,1,4.043,20.7
2022-10-13 09:00:00,2022-10-13 09:00:12,43.07923,5.99531,0,309.6,1,4.043,20.9
2022-10-13 09:10:00,2022-10-13 09:10:28,43.07928,5.9948,0,324.5,1,4.042,20.9
2022-10-13 09:20:00,2022-10-13 09:20:23,43.07921,5.99418,0,192.3,1,4.041,20.9
2022-10-13 09:30:00,2022-10-13 09:30:14,43.07908,5.99359,0,246.4,1,4.042,21
2022-10-13 09:40:00,2022-10-13 09:40:12,43.07915,5.99313,0,239.1,1,4.041,21
2022-10-13 09:50:00,2022-10-13 09:50:13,43.07918,5.99284,0,264.7,1,4.04,21
2022-10-13 10:00:00,2022-10-13 10:00:12,43.07925,5.99247,0,318.3,1,4.04,21
2022-10-13 10:10:00,2022-10-13 10:10:12,43.07956,5.99217,0,8.7,1,4.039,21.1
2022-10-13 10:20:00,2022-10-13 10:20:12,43.07985,5.99197,0,19,1,4.038,21
2022-10-13 10:30:00,2022-10-13 10:30:13,43.0802,5.99191,0,295.4,1,4.039,21
2022-10-13 10:40:00,2022-10-13 10:40:31,43.08074,5.99189,0,257.2,1,4.037,21.1
2022-10-13 10:50:00,2022-10-13 10:50:11,43.08125,5.99183,0,2.5,1,4.036,21.1
2022-10-13 11:00:00,2022-10-13 11:00:12,43.0817,5.99185,0,284.6,1,4.036,21.1
2022-10-13 11:10:00,2022-10-13 11:10:11,43.08206,5.99188,0.71111,21.8,1,4.037,21.1
2022-10-13 11:20:00,2022-10-13 11:20:11,43.08268,5.99197,0,323.1,1,4.036,21.1
2022-10-13 11:30:00,2022-10-13 11:30:29,43.08326,5.99207,0,173.3,1,4.035,21.1
2022-10-13 11:40:00,2022-10-13 11:40:15,43.08387,5.99225,0,341.6,1,4.034,21.1
2022-10-13 11:50:00,2022-10-13 11:50:47,43.08445,5.99256,0,58.5,1,4.035,21.2
2022-10-13 12:00:00,2022-10-13 12:00:13,43.08505,5.99286,0,95.1,1,4.033,21.2
2022-10-13 12:10:00,2022-10-13 12:10:12,43.08575,5.99337,0,262.6,1,4.032,21.1
2022-10-13 12:20:00,2022-10-13 12:20:14,43.0863,5.99395,0,330.6,1,4.032,21.2
2022-10-13 12:30:00,2022-10-13 12:30:12,43.08683,5.99452,0,251.8,1,4.032,21.1
2022-10-13 12:40:00,2022-10-13 12:40:21,43.08735,5.99524,0,18.7,1,4.031,21
