Station,Name,DrogDepth,DepDate,DepTime,DepLong,DepLat,RecovDate,RecovTime,RecovLong,RecovLat
1,3368,0,10/13/2022,09:54:00,005°59.972,"43°4,813",10/13/2022,14:39:00,005°59.593,43°5.133
1,274,1,10/13/2022,09:54:00,005°59.972,"43°4,813",10/13/2022,14:41:00,005°59.716,43°5.224
1,2052,0,10/13/2022,09:54:00,005°59.972,"43°4,813",10/13/2022,14:45:00,006°0.041,43°5.421
2,279,1,10/13/2022,10:03:00,005°58.987,43°4.686,10/13/2022,13:58:00,005°58.501,43°4.335
2,6439,0.6,10/13/2022,10:03:00,005°58.987,43°4.686,10/13/2022,13:55:00,005°58.499,43°4.402
2,8436,0,10/13/2022,10:03:00,005°58.987,43°4.686,10/13/2022,13:52:00,005°58.677,43°4.495
3,119,0.6,10/13/2022,10:21:00,005°58.416,43°4.669,10/13/2022,14:30:00,005°58.209,43°4.851
3,7230,0,10/13/2022,10:21:00,005°58.416,43°4.669,10/13/2022,14:22:00,005°58.569,43°4.882
3,273,1,10/13/2022,10:21:00,005°58.416,43°4.669,10/13/2022,14:24:00,005°58.265,43°4.949
4,9666,0.6,10/12/2022,10:55:00,6°0.678,42°59.547,10/13/2022,11:39:00,5.0°45.322,42.0°58.672
