Name,DepDate,DepTime,DepLong,DepLat,RecovDate,RecovTime,RecovLong,RecovLat,Station,DrogDepth
382,2021-10-13',09:20,5°57.199,43°5.594',2021-10-13',13:43,5°57.381',43°5.95',-,1
53368,2021-10-13',09:59,5°58.206,43°4.799',2021-10-13',13:25,5°58.246',43°5.228',-,0.6
390,2021-10-13',09:59,5°58.206,43°4.799',2021-10-13',13:27,5°58.266',43°5.265',-,1
386,2021-10-13',10:10,5°59.097,43°4.810',2021-10-13',13:14,5°58.996',43°4.935',-,1
276,2021-10-13',10:41,5°00.058,43°4.814',2021-10-13',13:02,6°0.979',43°5.372',-,1
84410,2021-10-13',10:41,5°00.058,43°4.810',2021-10-13',12:56,6°1.061',43°5.433',-,0
53611,2021-10-13',10:10,6°00.054,43°4.810',2021-10-13',14:16,5°58.965',43°4.917',-,0.6
